+---------+----------+-----------------+-------+--------+---------+-----------------+
| threads | accounts | txns_per_thread | pct   | lock   | variant | mean_time (s)   |
|       4 | 10000000 |            2500 |    70 | rwlock | coarse  |          0.492764 |
|       4 | 10000000 |            2500 |    70 | rwlock | fine    |          0.503408 |
|       4 | 10000000 |            5000 |    30 | mutex  | coarse  |          0.402737 |
|       4 | 10000000 |            5000 |    30 | mutex  | fine    |          0.419567 |
|       4 | 10000000 |            5000 |    30 | rwlock | coarse  |          0.567308 |
|       4 | 10000000 |            5000 |    30 | rwlock | fine    |          0.475468 |
|       4 | 10000000 |            5000 |    50 | mutex  | coarse  |          0.377996 |
|       4 | 10000000 |            5000 |    50 | mutex  | fine    |          0.419558 |
|       4 | 10000000 |            5000 |    50 | rwlock | coarse  |          0.496769 |
|       4 | 10000000 |            5000 |    50 | rwlock | fine    |          0.504467 |
|       4 | 10000000 |            5000 |    70 | mutex  | coarse  |          0.399429 |
|       4 | 10000000 |            5000 |    70 | mutex  | fine    |          0.400353 |
|       4 | 10000000 |            5000 |    70 | rwlock | coarse  |          0.527706 |
|       4 | 10000000 |            5000 |    70 | rwlock | fine    |          0.463135 |
|       4 | 10000000 |           10000 |    30 | mutex  | coarse  |          0.389720 |
|       4 | 10000000 |           10000 |    30 | mutex  | fine    |          0.402490 |
|       4 | 10000000 |           10000 |    30 | rwlock | coarse  |          0.549540 |
|       4 | 10000000 |           10000 |    30 | rwlock | fine    |          0.501267 |
|       4 | 10000000 |           10000 |    50 | mutex  | coarse  |          0.412958 |
|       4 | 10000000 |           10000 |    50 | mutex  | fine    |          0.385296 |
|       4 | 10000000 |           10000 |    50 | rwlock | coarse  |          0.548392 |
|       4 | 10000000 |           10000 |    50 | rwlock | fine    |          0.512363 |
|       4 | 10000000 |           10000 |    70 | mutex  | coarse  |          0.407047 |
|       4 | 10000000 |           10000 |    70 | mutex  | fine    |          0.385974 |
|       4 | 10000000 |           10000 |    70 | rwlock | coarse  |          0.499822 |
|       4 | 10000000 |           10000 |    70 | rwlock | fine    |          0.504711 |
+---------+----------+-----------------+-------+--------+---------+-----------------+
